playerId,"Player Per Game, Player","Player Per Game, Age","Player Per Game, Team","Player Per Game, Pos","Player Per Game, G","Player Per Game, GS","Player Per Game, MP","Player Per Game, FG","Player Per Game, FGA","Player Per Game, FG%","Player Per Game, 3P","Player Per Game, 3PA","Player Per Game, 3P%","Player Per Game, 2P","Player Per Game, 2PA","Player Per Game, 2P%","Player Per Game, eFG%","Player Per Game, FT","Player Per Game, FTA","Player Per Game, FT%","Player Per Game, ORB","Player Per Game, DRB","Player Per Game, TRB","Player Per Game, AST","Player Per Game, STL","Player Per Game, BLK","Player Per Game, TOV","Player Per Game, PF","Player Per Game, PTS","Player Per Game, Awards","Player Totals, Player","Player Totals, Age","Player Totals, Team","Player Totals, Pos","Player Totals, G","Player Totals, GS","Player Totals, MP","Player Totals, FG","Player Totals, FGA","Player Totals, FG%","Player Totals, 3P","Player Totals, 3PA","Player Totals, 3P%","Player Totals, 2P","Player Totals, 2PA","Player Totals, 2P%","Player Totals, eFG%","Player Totals, FT","Player Totals, FTA","Player Totals, FT%","Player Totals, ORB","Player Totals, DRB","Player Totals, TRB","Player Totals, AST","Player Totals, STL","Player Totals, BLK","Player Totals, TOV","Player Totals, PF","Player Totals, PTS","Player Totals, Trp-Dbl","Player Totals, Awards","Player Per 100 Poss, Player","Player Per 100 Poss, Age","Player Per 100 Poss, Team","Player Per 100 Poss, Pos","Player Per 100 Poss, G","Player Per 100 Poss, GS","Player Per 100 Poss, MP","Player Per 100 Poss, FG","Player Per 100 Poss, FGA","Player Per 100 Poss, FG%","Player Per 100 Poss, 3P","Player Per 100 Poss, 3PA","Player Per 100 Poss, 3P%","Player Per 100 Poss, 2P","Player Per 100 Poss, 2PA","Player Per 100 Poss, 2P%","Player Per 100 Poss, eFG%","Player Per 100 Poss, FT","Player Per 100 Poss, FTA","Player Per 100 Poss, FT%","Player Per 100 Poss, ORB","Player Per 100 Poss, DRB","Player Per 100 Poss, TRB","Player Per 100 Poss, AST","Player Per 100 Poss, STL","Player Per 100 Poss, BLK","Player Per 100 Poss, TOV","Player Per 100 Poss, PF","Player Per 100 Poss, PTS","Player Per 100 Poss, ORtg","Player Per 100 Poss, DRtg","Player Per 100 Poss, Awards","Player Advanced, Player","Player Advanced, Pos","Player Advanced, Age","Player Advanced, Team","Player Advanced, G","Player Advanced, MP","Player Advanced, PER","Player Advanced, TS%","Player Advanced, 3PAr","Player Advanced, FTr","Player Advanced, ORB%","Player Advanced, DRB%","Player Advanced, TRB%","Player Advanced, AST%","Player Advanced, STL%","Player Advanced, BLK%","Player Advanced, TOV%","Player Advanced, USG%","Player Advanced, ","Player Advanced, ","Player Advanced, OWS","Player Advanced, DWS","Player Advanced, WS","Player Advanced, WS/48","Player Advanced, ","Player Advanced, ","Player Advanced, OBPM","Player Advanced, DBPM","Player Advanced, BPM","Player Advanced, VORP","Player Adjusted Shooting, Player","Player Adjusted Shooting, Pos","Player Adjusted Shooting, Age","Player Adjusted Shooting, Team","Player Adjusted Shooting, G","Player Adjusted Shooting, MP","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, Player Shooting %, FG","Player Adjusted Shooting, Player Shooting %, 2P","Player Adjusted Shooting, Player Shooting %, 3P","Player Adjusted Shooting, Player Shooting %, eFG","Player Adjusted Shooting, Player Shooting %, FT","Player Adjusted Shooting, Player Shooting %, TS","Player Adjusted Shooting, Player Shooting %, FTr","Player Adjusted Shooting, Player Shooting %, 3PAr","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, League-Adjusted, FG+","Player Adjusted Shooting, League-Adjusted, 2P+","Player Adjusted Shooting, League-Adjusted, 3P+","Player Adjusted Shooting, League-Adjusted, eFG+","Player Adjusted Shooting, League-Adjusted, FT+","Player Adjusted Shooting, League-Adjusted, TS+","Player Adjusted Shooting, League-Adjusted, FTr+","Player Adjusted Shooting, League-Adjusted, 3PAr+","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, FG Add","Player Adjusted Shooting, TS Add","MVP, Player","MVP, Age","MVP, Tm","MVP, Voting, First","MVP, Voting, Pts Won","MVP, Voting, Pts Max","MVP, Voting, Share","MVP, G","MVP, Per Game, MP","MVP, Per Game, PTS","MVP, Per Game, TRB","MVP, Per Game, AST","MVP, Per Game, STL","MVP, Per Game, BLK","MVP, Shooting, FG%","MVP, Shooting, 3P%","MVP, Shooting, FT%","MVP, Advanced, WS","MVP, Advanced, WS/48"
jordami01,Michael Jordan,24,CHI,SG,82,82,40.4,13.0,24.4,.535,0.1,0.6,.132,13.0,23.7,.546,.537,8.8,10.5,.841,1.7,3.8,5.5,5.9,3.2,1.6,3.1,3.3,35.0,"MVP-1,DPOY-1,AS,NBA1",Michael Jordan,24,CHI,SG,82,82,3311,1069,1998,.535,7,53,.132,1062,1945,.546,.537,723,860,.841,139,310,449,485,259,131,252,270,2868,2,"MVP-1,DPOY-1,AS,NBA1",Michael Jordan,24,CHI,SG,82,82,3311,16.2,30.3,.535,0.1,0.8,.132,16.1,29.5,.546,.537,11.0,13.1,.841,2.1,4.7,6.8,7.4,3.9,2.0,3.8,4.1,43.6,123,101,"MVP-1,DPOY-1,AS,NBA1",Michael Jordan*,SG,24,POR,82,3311,31.7,.603,.027,.430,4.8,10.7,7.8,27.0,3.9,2.4,9.6,34.1,,,15.2,6.1,21.2,.308,,,8.8,4.2,13.0,12.5,Michael Jordan,SG,24,WSB,82,3311,,,,.535,.546,.132,.537,.841,.603,.430,.027,,,,111,111,42,110,110,112,130,47,,,,189.5,311.4,Michael Jordan,24,CHI,47,665,800,0.831,82,40.4,35.0,5.5,5.9,3.2,1.6,.535,.132,.841,21.2,.308
wilkido01,Dominique Wilkins,28,ATL,SF,78,76,37.8,11.7,25.1,.464,0.5,1.7,.295,11.2,23.4,.476,.474,6.9,8.4,.826,2.7,3.7,6.4,2.9,1.3,0.6,2.8,2.1,30.7,"MVP-6,AS,NBA2",Dominique Wilkins,28,ATL,SF,78,76,2948,909,1957,.464,38,129,.295,871,1828,.476,.474,541,655,.826,211,291,502,224,103,47,218,162,2397,0,"MVP-6,AS,NBA2",Dominique Wilkins,28,ATL,SF,78,76,2948,15.4,33.1,.464,0.6,2.2,.295,14.7,30.9,.476,.474,9.1,11.1,.826,3.6,4.9,8.5,3.8,1.7,0.8,3.7,2.7,40.5,111,109,"MVP-6,AS,NBA2",Dominique Wilkins*,SF,28,NYK,78,2948,23.7,.534,.066,.335,7.9,11.0,9.5,13.5,1.7,1.0,8.9,35.2,,,7.0,2.8,9.8,.160,,,5.4,-1.1,4.3,4.7,Dominique Wilkins,SF,28,IND,78,2948,,,,.464,.476,.295,.474,.826,.534,.335,.066,,,,97,97,93,97,108,99,101,116,,,,-59.4,-18.5,Dominique Wilkins,28,ATL,0,55,800,0.069,78,37.8,30.7,6.4,2.9,1.3,0.6,.464,.295,.826,9.8,.160
birdla01,Larry Bird,31,BOS,SF,76,75,39.0,11.6,22.0,.527,1.3,3.1,.414,10.3,18.9,.546,.556,5.5,6.0,.916,1.4,7.8,9.3,6.1,1.6,0.8,2.8,2.1,29.9,"MVP-2,AS,NBA1",Larry Bird,31,BOS,SF,76,75,2965,881,1672,.527,98,237,.414,783,1435,.546,.556,415,453,.916,108,595,703,467,125,57,213,157,2275,2,"MVP-2,AS,NBA1",Larry Bird,31,BOS,SF,76,75,2965,14.6,27.6,.527,1.6,3.9,.414,12.9,23.7,.546,.556,6.9,7.5,.916,1.8,9.8,11.6,7.7,2.1,0.9,3.5,2.6,37.6,121,106,"MVP-2,AS,NBA1",Larry Bird*,SF,31,NJN,76,2965,27.8,.608,.142,.271,4.6,22.3,14.0,25.7,2.1,1.1,10.2,30.2,,,11.2,3.8,15.0,.243,,,7.8,1.0,8.8,8.1,Larry Bird,SF,31,SAS,76,2965,,,,.527,.546,.414,.556,.916,.608,.271,.142,,,,110,111,131,114,120,113,82,249,,,,223.5,261.7,Larry Bird,31,BOS,16,527,800,0.659,76,39.0,29.9,9.3,6.1,1.6,0.8,.527,.414,.916,15.0,.243
barklch01,Charles Barkley,24,PHI,PF,80,80,39.6,9.4,16.0,.587,0.6,2.0,.280,8.9,14.1,.630,.604,8.9,11.9,.751,4.8,7.1,11.9,3.2,1.3,1.3,3.8,3.5,28.3,"MVP-4,AS,NBA1",Charles Barkley,24,PHI,PF,80,80,3170,753,1283,.587,44,157,.280,709,1126,.630,.604,714,951,.751,385,566,951,254,100,103,304,278,2264,0,"MVP-4,AS,NBA1",Charles Barkley,24,PHI,PF,80,80,3170,11.9,20.2,.587,0.7,2.5,.280,11.2,17.8,.630,.604,11.3,15.0,.751,6.1,8.9,15.0,4.0,1.6,1.6,4.8,4.4,35.7,126,108,"MVP-4,AS,NBA1",Charles Barkley*,PF,24,PHI,80,3170,27.6,.665,.122,.741,14.0,20.8,17.4,14.1,1.6,1.9,15.2,26.7,,,13.4,3.3,16.7,.253,,,7.3,0.1,7.4,7.5,Charles Barkley,PF,24,PHI,80,3170,,,,.587,.630,.280,.604,.751,.665,.741,.122,,,,122,128,89,123,98,124,223,215,,,,294.3,433.5,Charles Barkley,24,PHI,1,109,800,0.136,80,39.6,28.3,11.9,3.2,1.3,1.3,.587,.280,.751,16.7,.253
malonka01,Karl Malone,24,UTA,PF,82,82,39.0,10.5,20.1,.520,0.0,0.1,.000,10.5,20.1,.522,.520,6.7,9.6,.700,3.4,8.6,12.0,2.4,1.4,0.6,4.0,3.6,27.7,"MVP-8,AS,NBA2",Karl Malone,24,UTA,PF,82,82,3198,858,1650,.520,0,5,.000,858,1645,.522,.520,552,789,.700,277,709,986,199,117,50,325,296,2268,0,"MVP-8,AS,NBA2",Karl Malone,24,UTA,PF,82,82,3198,12.7,24.4,.520,0.0,0.1,.000,12.7,24.3,.522,.520,8.2,11.7,.700,4.1,10.5,14.6,2.9,1.7,0.7,4.8,4.4,33.5,107,101,"MVP-8,AS,NBA2",Karl Malone*,PF,24,WSB,82,3198,20.7,.568,.003,.478,9.7,22.8,16.6,10.1,1.7,0.9,14.0,29.7,,,4.0,6.1,10.1,.152,,,1.7,-0.2,1.5,2.9,Karl Malone,PF,24,PHO,82,3198,,,,.520,.522,.000,.520,.700,.568,.478,.003,,,,108,106,,106,91,106,144,5,,,,101.1,119.4,Karl Malone,24,UTA,0,36,800,0.045,82,39.0,27.7,12.0,2.4,1.4,0.6,.520,.000,.700,10.1,.152
drexlcl01,Clyde Drexler,25,POR,SG,81,80,37.8,10.5,20.7,.506,0.1,0.6,.212,10.3,20.1,.515,.509,5.9,7.2,.811,3.2,3.4,6.6,5.8,2.5,0.6,2.9,3.1,27.0,"MVP-5,DPOY-8,AS,NBA2",Clyde Drexler,25,POR,SG,81,80,3060,849,1679,.506,11,52,.212,838,1627,.515,.509,476,587,.811,261,272,533,467,203,52,236,250,2185,0,"MVP-5,DPOY-8,AS,NBA2",Clyde Drexler,25,POR,SG,81,80,3060,12.9,25.4,.506,0.2,0.8,.212,12.7,24.6,.515,.509,7.2,8.9,.811,4.0,4.1,8.1,7.1,3.1,0.8,3.6,3.8,33.1,118,106,"MVP-5,DPOY-8,AS,NBA2",Clyde Drexler*,SG,25,POR,81,3060,24.1,.564,.031,.350,9.2,9.6,9.4,23.5,3.1,1.0,10.9,28.0,,,9.3,3.9,13.2,.207,,,5.7,1.4,7.0,7.0,Clyde Drexler,SG,25,DET,81,3060,,,,.506,.515,.212,.509,.811,.564,.350,.031,,,,105,105,67,104,106,105,105,54,,,,65.7,100.8,Clyde Drexler,25,POR,0,86,800,0.108,81,37.8,27.0,6.6,5.8,2.5,0.6,.506,.212,.811,13.2,.207
ellisda01,Dale Ellis,27,SEA,SG,75,73,37.2,10.2,20.3,.503,1.4,3.5,.413,8.8,16.8,.521,.538,4.0,5.3,.767,2.2,2.3,4.5,2.6,1.0,0.1,2.3,2.9,25.8,,Dale Ellis,27,SEA,SG,75,73,2790,764,1519,.503,107,259,.413,657,1260,.521,.538,303,395,.767,167,173,340,197,74,11,172,221,1938,0,,Dale Ellis,27,SEA,SG,75,73,2790,13.1,26.1,.503,1.8,4.4,.413,11.3,21.6,.521,.538,5.2,6.8,.767,2.9,3.0,5.8,3.4,1.3,0.2,3.0,3.8,33.3,117,112,,Dale Ellis,SG,27,NJN,75,2790,19.3,.572,.171,.260,6.6,7.2,6.9,11.4,1.3,0.2,9.2,26.8,,,7.4,1.6,9.0,.155,,,4.3,-1.8,2.5,3.2,Dale Ellis,SG,27,DEN,75,2790,,,,.503,.521,.413,.538,.767,.572,.260,.171,,,,105,106,131,110,100,106,78,299,,,,148.3,116.8,,,,,,,,,,,,,,,,,,,
aguirma01,Mark Aguirre,28,DAL,SF,77,77,33.9,9.7,20.4,.475,0.7,2.2,.302,9.0,18.2,.496,.491,5.0,6.5,.770,2.4,3.3,5.6,3.6,0.9,0.7,2.6,2.9,25.1,"MVP-14,AS",Mark Aguirre,28,DAL,SF,77,77,2610,746,1571,.475,52,172,.302,694,1399,.496,.491,388,504,.770,182,252,434,278,70,57,203,223,1932,0,"MVP-14,AS",Mark Aguirre,28,DAL,SF,77,77,2610,14.1,29.8,.475,1.0,3.3,.302,13.2,26.5,.496,.491,7.4,9.6,.770,3.5,4.8,8.2,5.3,1.3,1.1,3.8,4.2,36.6,113,109,"MVP-14,AS",Mark Aguirre,SF,28,DAL,77,2610,21.9,.539,.109,.321,7.7,10.3,9.0,18.4,1.3,1.3,10.2,31.6,,,6.5,2.3,8.8,.163,,,4.6,-0.8,3.8,3.9,Mark Aguirre,SF,28,DAL,77,2610,,,,.475,.496,.302,.491,.770,.539,.321,.109,,,,99,101,96,100,101,100,97,192,,,,6.4,3.3,Mark Aguirre,28,DAL,0,1,800,0.001,77,33.9,25.1,5.6,3.6,0.9,0.7,.475,.302,.770,8.8,.163
englial01,Alex English,34,DEN,SF,80,80,35.2,10.5,21.3,.495,0.0,0.1,.000,10.5,21.2,.496,.495,3.9,4.7,.828,2.1,2.6,4.7,4.7,0.9,0.3,2.3,2.4,25.0,"MVP-11,AS",Alex English,34,DEN,SF,80,80,2818,843,1704,.495,0,6,.000,843,1698,.496,.495,314,379,.828,166,207,373,377,70,23,181,193,2000,0,"MVP-11,AS",Alex English,34,DEN,SF,80,80,2818,13.6,27.5,.495,0.0,0.1,.000,13.6,27.4,.496,.495,5.1,6.1,.828,2.7,3.3,6.0,6.1,1.1,0.4,2.9,3.1,32.3,111,110,"MVP-11,AS",Alex English*,SF,34,DEN,80,2818,19.8,.535,.004,.222,6.0,8.0,7.0,20.5,1.1,0.5,8.8,28.4,,,5.3,2.2,7.6,.129,,,3.4,-1.4,2.0,2.9,Alex English,SF,34,DAL,80,2818,,,,.495,.496,.000,.495,.828,.535,.222,.004,,,,103,101,,101,108,99,67,6,,,,18.2,-12.7,Alex English,34,DEN,0,4,800,0.005,80,35.2,25.0,4.7,4.7,0.9,0.3,.495,.000,.828,7.6,.129
olajuha01,Hakeem Olajuwon,25,HOU,C,79,79,35.8,9.0,17.5,.514,0.0,0.1,.000,9.0,17.5,.516,.514,4.8,6.9,.695,3.8,8.3,12.1,2.1,2.1,2.7,3.1,4.1,22.8,"MVP-7,DPOY-3,AS,NBA1",Hakeem Olajuwon,25,HOU,C,79,79,2825,712,1385,.514,0,4,.000,712,1381,.516,.514,381,548,.695,302,657,959,163,162,214,243,324,1805,1,"MVP-7,DPOY-3,AS,NBA1",Hakeem Olajuwon,25,HOU,C,79,79,2825,11.9,23.1,.514,0.0,0.1,.000,11.9,23.1,.516,.514,6.4,9.1,.695,5.0,11.0,16.0,2.7,2.7,3.6,4.1,5.4,30.1,109,98,"MVP-7,DPOY-3,AS,NBA1",Hakeem Olajuwon*,C,25,SAC,79,2825,23.4,.555,.003,.396,11.2,24.1,17.7,9.2,2.7,4.2,13.0,26.5,,,4.4,6.3,10.7,.182,,,2.2,2.2,4.4,4.6,Hakeem Olajuwon,C,25,BOS,79,2825,,,,.514,.516,.000,.514,.695,.555,.396,.003,,,,107,105,,105,91,103,119,5,,,,68.4,55.5,Hakeem Olajuwon,25,HOU,0,40,800,0.050,79,35.8,22.8,12.1,2.1,2.1,2.7,.514,.000,.695,10.7,.182
