Team,"Team Per Game, TeamName","Team Per Game, G","Team Per Game, MP","Team Per Game, FG","Team Per Game, FGA","Team Per Game, FG%","Team Per Game, 3P","Team Per Game, 3PA","Team Per Game, 3P%","Team Per Game, 2P","Team Per Game, 2PA","Team Per Game, 2P%","Team Per Game, FT","Team Per Game, FTA","Team Per Game, FT%","Team Per Game, ORB","Team Per Game, DRB","Team Per Game, TRB","Team Per Game, AST","Team Per Game, STL","Team Per Game, BLK","Team Per Game, TOV","Team Per Game, PF","Team Per Game, PTS","Team Totals, TeamName","Team Totals, G","Team Totals, MP","Team Totals, FG","Team Totals, FGA","Team Totals, FG%","Team Totals, 3P","Team Totals, 3PA","Team Totals, 3P%","Team Totals, 2P","Team Totals, 2PA","Team Totals, 2P%","Team Totals, FT","Team Totals, FTA","Team Totals, FT%","Team Totals, ORB","Team Totals, DRB","Team Totals, TRB","Team Totals, AST","Team Totals, STL","Team Totals, BLK","Team Totals, TOV","Team Totals, PF","Team Totals, PTS","Team Per 100 Poss, TeamName","Team Per 100 Poss, G","Team Per 100 Poss, MP","Team Per 100 Poss, FG","Team Per 100 Poss, FGA","Team Per 100 Poss, FG%","Team Per 100 Poss, 3P","Team Per 100 Poss, 3PA","Team Per 100 Poss, 3P%","Team Per 100 Poss, 2P","Team Per 100 Poss, 2PA","Team Per 100 Poss, 2P%","Team Per 100 Poss, FT","Team Per 100 Poss, FTA","Team Per 100 Poss, FT%","Team Per 100 Poss, ORB","Team Per 100 Poss, DRB","Team Per 100 Poss, TRB","Team Per 100 Poss, AST","Team Per 100 Poss, STL","Team Per 100 Poss, BLK","Team Per 100 Poss, TOV","Team Per 100 Poss, PF","Team Per 100 Poss, PTS","Team Advanced, TeamName","Team Advanced, Age","Team Advanced, W","Team Advanced, L","Team Advanced, PW","Team Advanced, PL","Team Advanced, MOV","Team Advanced, SOS","Team Advanced, SRS","Team Advanced, ORtg","Team Advanced, DRtg","Team Advanced, NRtg","Team Advanced, Pace","Team Advanced, FTr","Team Advanced, 3PAr","Team Advanced, TS%","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Offense Four Factors, eFG%","Team Advanced, Offense Four Factors, TOV%","Team Advanced, Offense Four Factors, ORB%","Team Advanced, Offense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Defense Four Factors, eFG%","Team Advanced, Defense Four Factors, TOV%","Team Advanced, Defense Four Factors, DRB%","Team Advanced, Defense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Arena","Team Advanced, Attend.","Team Advanced, Attend./G"
PHO,Phoenix Suns*,82,240.6,42.6,86.5,.493,4.9,13.4,.363,37.8,73.1,.516,23.3,31.0,.753,13.9,30.6,44.5,25.5,9.2,5.5,16.6,21.2,113.4,Phoenix Suns*,82,19730,3494,7093,.493,398,1095,.363,3096,5998,.516,1912,2539,.753,1141,2510,3651,2087,752,455,1359,1739,9298,Phoenix Suns*,82,19730,42.6,86.5,.493,4.9,13.3,.363,37.7,73.1,.516,23.3,30.9,.753,13.9,30.6,44.5,25.4,9.2,5.5,16.6,21.2,113.3,Phoenix Suns*,28.2,62,20,57,25,6.66,-0.39,6.27,113.3,106.7,+6.6,99.8,.358,.154,.566,,,,.521,14.2,33.0,.270,,,,.496,13.9,69.2,.206,,,,America West Arena,"779,943","19,023"
CHH,Charlotte Hornets*,82,240.9,42.8,87.9,.487,2.1,6.5,.326,40.7,81.4,.500,22.3,29.0,.771,13.4,30.6,43.9,26.4,7.8,5.8,16.2,21.8,110.1,Charlotte Hornets*,82,19755,3512,7210,.487,175,537,.326,3337,6673,.500,1831,2374,.771,1095,2508,3603,2161,639,473,1325,1790,9030,Charlotte Hornets*,82,19755,42.6,87.4,.487,2.1,6.5,.326,40.5,80.9,.500,22.2,28.8,.771,13.3,30.4,43.7,26.2,7.7,5.7,16.1,21.7,109.5,Charlotte Hornets*,25.7,44,38,40,42,-0.24,0.22,-0.02,109.5,109.7,-0.2,100.2,.329,.074,.547,,,,.499,13.8,31.3,.254,,,,.487,12.6,65.0,.201,,,,Charlotte Coliseum,"971,880","23,704"
GSW,Golden State Warriors,82,242.7,42.4,88.0,.482,3.6,10.4,.350,38.7,77.6,.499,21.6,30.1,.717,14.9,29.1,43.9,24.5,8.5,4.7,17.7,25.1,109.9,Golden State Warriors,82,19905,3474,7212,.482,298,852,.350,3176,6360,.499,1768,2465,.717,1219,2384,3603,2010,693,383,1451,2056,9014,Golden State Warriors,82,19905,42.1,87.4,.482,3.6,10.3,.350,38.5,77.0,.499,21.4,29.9,.717,14.8,28.9,43.6,24.3,8.4,4.6,17.6,24.9,109.2,Golden State Warriors,25.0,34,48,38,44,-0.99,0.05,-0.94,109.2,110.2,-1.0,99.5,.342,.118,.543,,,,.502,14.9,34.2,.245,,,,.501,14.0,67.0,.261,,,,Oakland-Alameda County Coliseum Arena,"616,025","15,025"
POR,Portland Trail Blazers*,82,242.7,41.0,89.5,.458,3.4,10.3,.326,37.6,79.3,.475,23.2,31.1,.745,15.0,30.6,45.5,24.0,9.4,5.2,14.8,23.1,108.5,Portland Trail Blazers*,82,19905,3361,7343,.458,275,843,.326,3086,6500,.475,1901,2551,.745,1226,2507,3733,1969,770,425,1215,1892,8898,Portland Trail Blazers*,82,19905,40.9,89.4,.458,3.3,10.3,.326,37.6,79.1,.475,23.1,31.0,.745,14.9,30.5,45.4,24.0,9.4,5.2,14.8,23.0,108.3,Portland Trail Blazers*,28.2,51,31,49,33,3.11,-0.19,2.92,108.3,105.2,+3.1,99.1,.347,.115,.526,,,,.476,12.6,32.7,.259,,,,.488,14.8,71.0,.237,,,,Memorial Coliseum,"528,408","12,888"
SEA,Seattle SuperSonics*,82,241.2,42.4,87.1,.486,2.7,7.4,.357,39.7,79.6,.498,21.0,27.5,.761,14.9,27.5,42.4,23.2,11.5,5.0,15.5,24.0,108.3,Seattle SuperSonics*,82,19780,3473,7140,.486,218,610,.357,3255,6530,.498,1720,2259,.761,1222,2254,3476,1906,944,409,1267,1971,8884,Seattle SuperSonics*,82,19780,43.9,90.2,.486,2.8,7.7,.357,41.1,82.5,.498,21.7,28.5,.761,15.4,28.5,43.9,24.1,11.9,5.2,16.0,24.9,112.3,Seattle SuperSonics*,27.7,55,27,59,23,7.07,-0.42,6.66,112.3,104.9,+7.4,96.0,.316,.085,.546,,,,.502,13.5,35.5,.241,,,,.489,16.4,67.7,.260,,,,Seattle Center Coliseum,"646,589","13,453"
SAC,Sacramento Kings,82,241.2,41.0,88.6,.463,3.2,9.6,.332,37.8,79.0,.478,22.7,29.8,.762,13.9,27.8,41.7,25.3,9.4,4.2,16.6,25.4,107.9,Sacramento Kings,82,19780,3360,7264,.463,262,788,.332,3098,6476,.478,1865,2447,.762,1137,2281,3418,2075,768,348,1364,2085,8847,Sacramento Kings,82,19780,40.4,87.4,.463,3.2,9.5,.332,37.3,78.0,.478,22.5,29.5,.762,13.7,27.5,41.1,25.0,9.2,4.2,16.4,25.1,106.5,Sacramento Kings,26.5,25,57,33,49,-3.17,0.17,-3.00,106.5,109.6,-3.1,100.8,.337,.108,.530,,,,.481,14.1,30.7,.257,,,,.502,15.1,66.7,.292,,,,ARCO Arena (II),"709,997","17,317"
IND,Indiana Pacers*,82,240.9,41.1,85.6,.480,3.1,9.6,.326,38.0,76.0,.500,22.4,29.3,.766,14.9,29.9,44.8,26.1,7.5,4.9,15.3,24.9,107.8,Indiana Pacers*,82,19755,3371,7022,.480,257,789,.326,3114,6233,.500,1837,2399,.766,1220,2455,3675,2144,615,403,1256,2045,8836,Indiana Pacers*,82,19755,42.7,88.9,.480,3.3,10.0,.326,39.4,78.9,.500,23.3,30.4,.766,15.4,31.1,46.5,27.1,7.8,5.1,15.9,25.9,111.9,Indiana Pacers*,26.8,41,41,46,36,1.70,0.08,1.77,111.9,110.1,+1.8,96.0,.342,.112,.547,,,,.498,13.5,34.2,.262,,,,.485,12.7,67.4,.281,,,,Market Square Arena,"530,891","12,949"
CLE,Cleveland Cavaliers*,82,241.8,41.8,84.0,.497,3.5,9.0,.381,38.3,74.9,.511,20.7,25.8,.802,11.3,30.4,41.8,28.6,7.5,6.5,13.7,19.3,107.7,Cleveland Cavaliers*,82,19830,3425,6887,.497,283,742,.381,3142,6145,.511,1699,2119,.802,929,2496,3425,2349,615,536,1120,1580,8832,Cleveland Cavaliers*,82,19830,43.7,87.9,.497,3.6,9.5,.381,40.1,78.4,.511,21.7,27.0,.802,11.9,31.9,43.7,30.0,7.9,6.8,14.3,20.2,112.7,Cleveland Cavaliers*,28.8,54,28,58,24,6.45,-0.15,6.30,112.7,106.0,+6.7,94.8,.308,.108,.565,,,,.518,12.5,28.1,.247,,,,.482,13.1,69.1,.185,,,,Coliseum at Richfield,"751,465","18,329"
ATL,Atlanta Hawks*,82,241.8,41.4,88.7,.466,4.7,13.1,.355,36.7,75.6,.486,20.1,27.1,.742,15.7,28.6,44.3,25.4,9.8,3.4,16.3,22.0,107.5,Atlanta Hawks*,82,19830,3392,7272,.466,382,1076,.355,3010,6196,.486,1648,2221,.742,1290,2344,3634,2084,806,278,1339,1807,8814,Atlanta Hawks*,82,19830,42.1,90.2,.466,4.7,13.3,.355,37.3,76.9,.486,20.4,27.5,.742,16.0,29.1,45.1,25.9,10.0,3.4,16.6,22.4,109.3,Atlanta Hawks*,27.1,43,39,39,43,-0.87,0.20,-0.67,109.3,110.2,-0.9,97.6,.305,.148,.534,,,,.493,14.0,34.8,.227,,,,.516,14.6,68.5,.224,,,,Omni Coliseum,"491,229","11,981"
LAC,Los Angeles Clippers*,82,241.5,43.2,89.4,.484,1.6,6.0,.271,41.6,83.4,.499,19.0,26.5,.718,14.4,28.8,43.2,27.3,10.3,6.0,16.3,23.4,107.1,Los Angeles Clippers*,82,19805,3544,7329,.484,133,491,.271,3411,6838,.499,1562,2177,.718,1183,2360,3543,2242,847,491,1338,1920,8783,Los Angeles Clippers*,82,19805,43.3,89.6,.484,1.6,6.0,.271,41.7,83.6,.499,19.1,26.6,.718,14.5,28.9,43.3,27.4,10.4,6.0,16.4,23.5,107.4,Los Angeles Clippers*,26.7,41,41,42,40,0.35,-0.03,0.33,107.4,107.1,+0.3,99.1,.297,.067,.530,,,,.493,13.9,32.7,.213,,,,.489,15.1,66.7,.263,,,,Los Angeles Memorial Sports Arena,"532,625","12,991"
