Team,"Team Per Game, TeamName","Team Per Game, G","Team Per Game, MP","Team Per Game, FG","Team Per Game, FGA","Team Per Game, FG%","Team Per Game, 3P","Team Per Game, 3PA","Team Per Game, 3P%","Team Per Game, 2P","Team Per Game, 2PA","Team Per Game, 2P%","Team Per Game, FT","Team Per Game, FTA","Team Per Game, FT%","Team Per Game, ORB","Team Per Game, DRB","Team Per Game, TRB","Team Per Game, AST","Team Per Game, STL","Team Per Game, BLK","Team Per Game, TOV","Team Per Game, PF","Team Per Game, PTS","Team Totals, TeamName","Team Totals, G","Team Totals, MP","Team Totals, FG","Team Totals, FGA","Team Totals, FG%","Team Totals, 3P","Team Totals, 3PA","Team Totals, 3P%","Team Totals, 2P","Team Totals, 2PA","Team Totals, 2P%","Team Totals, FT","Team Totals, FTA","Team Totals, FT%","Team Totals, ORB","Team Totals, DRB","Team Totals, TRB","Team Totals, AST","Team Totals, STL","Team Totals, BLK","Team Totals, TOV","Team Totals, PF","Team Totals, PTS","Team Per 100 Poss, TeamName","Team Per 100 Poss, G","Team Per 100 Poss, MP","Team Per 100 Poss, FG","Team Per 100 Poss, FGA","Team Per 100 Poss, FG%","Team Per 100 Poss, 3P","Team Per 100 Poss, 3PA","Team Per 100 Poss, 3P%","Team Per 100 Poss, 2P","Team Per 100 Poss, 2PA","Team Per 100 Poss, 2P%","Team Per 100 Poss, FT","Team Per 100 Poss, FTA","Team Per 100 Poss, FT%","Team Per 100 Poss, ORB","Team Per 100 Poss, DRB","Team Per 100 Poss, TRB","Team Per 100 Poss, AST","Team Per 100 Poss, STL","Team Per 100 Poss, BLK","Team Per 100 Poss, TOV","Team Per 100 Poss, PF","Team Per 100 Poss, PTS","Team Advanced, TeamName","Team Advanced, Age","Team Advanced, W","Team Advanced, L","Team Advanced, PW","Team Advanced, PL","Team Advanced, MOV","Team Advanced, SOS","Team Advanced, SRS","Team Advanced, ORtg","Team Advanced, DRtg","Team Advanced, NRtg","Team Advanced, Pace","Team Advanced, FTr","Team Advanced, 3PAr","Team Advanced, TS%","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Offense Four Factors, eFG%","Team Advanced, Offense Four Factors, TOV%","Team Advanced, Offense Four Factors, ORB%","Team Advanced, Offense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Defense Four Factors, eFG%","Team Advanced, Defense Four Factors, TOV%","Team Advanced, Defense Four Factors, DRB%","Team Advanced, Defense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Arena","Team Advanced, Attend.","Team Advanced, Attend./G","Team Shooting, TeamName","Team Shooting, G","Team Shooting, MP","Team Shooting, FG%","Team Shooting, Dist.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FGA by Distance, 2P","Team Shooting, % of FGA by Distance, 0-3","Team Shooting, % of FGA by Distance, 3-10","Team Shooting, % of FGA by Distance, 10-16","Team Shooting, % of FGA by Distance, 16-3P","Team Shooting, % of FGA by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, FG% by Distance, 2P","Team Shooting, FG% by Distance, 0-3","Team Shooting, FG% by Distance, 3-10","Team Shooting, FG% by Distance, 10-16","Team Shooting, FG% by Distance, 16-3P","Team Shooting, FG% by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FG Ast'd, 2P","Team Shooting, % of FG Ast'd, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Dunks, %FGA","Team Shooting, Dunks, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Corner, %3PA","Team Shooting, Corner, 3P%","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Heaves, Att.","Team Shooting, Heaves, Md."
UTA,Utah Jazz*,82,241.8,38.2,75.8,.504,4.1,11.0,.370,34.1,64.8,.526,22.7,29.5,.769,10.8,29.4,40.2,26.8,9.1,5.1,15.4,24.2,103.1,Utah Jazz*,82,19830,3131,6217,.504,334,902,.370,2797,5315,.526,1858,2416,.769,889,2410,3299,2199,748,418,1259,1981,8454,Utah Jazz*,82,19830,42.1,83.6,.504,4.5,12.1,.370,37.6,71.4,.526,25.0,32.5,.769,12.0,32.4,44.3,29.6,10.1,5.6,16.9,26.6,113.6,Utah Jazz*,29.6,64,18,64,18,8.79,-0.82,7.97,113.6,104.0,+9.6,90.0,.389,.145,.581,,,,.530,14.7,29.7,.299,,,,.480,15.5,71.6,.290,,,,Delta Center,"811,439","19,791",Utah Jazz*,82,19830,.504,12.0,,,,,,,.855,.373,.122,.155,.204,.145,,,,,,,.526,.626,.430,.386,.509,.370,,,,,,,.688,.817,,,,,,,.041,246,,,,,,,.099,.483,,,,,,,3,0
CHI,Chicago Bulls*,82,240.6,40.0,84.4,.473,6.4,17.1,.373,33.6,67.3,.499,16.8,22.5,.747,15.1,30.0,45.1,26.1,8.7,4.0,13.5,19.7,103.1,Chicago Bulls*,82,19730,3277,6923,.473,523,1403,.373,2754,5520,.499,1381,1848,.747,1235,2461,3696,2142,716,332,1109,1617,8458,Chicago Bulls*,82,19730,44.3,93.6,.473,7.1,19.0,.373,37.2,74.6,.499,18.7,25.0,.747,16.7,33.3,50.0,29.0,9.7,4.5,15.0,21.9,114.4,Chicago Bulls*,30.7,69,13,68,14,10.80,-0.11,10.70,114.4,102.4,+12.0,90.0,.267,.203,.547,,,,.511,12.5,35.9,.199,,,,.471,14.8,69.3,.196,,,,United Center,"978,457","23,865",Chicago Bulls*,82,19730,.473,13.6,,,,,,,.797,.280,.110,.205,.203,.203,,,,,,,.499,.553,.452,.448,.502,.373,,,,,,,.621,.826,,,,,,,.043,291,,,,,,,.088,.415,,,,,,,2,0
PHO,Phoenix Suns*,82,242.1,38.3,81.8,.469,6.4,17.4,.369,31.9,64.4,.496,19.7,25.9,.761,11.2,29.0,40.1,25.2,8.1,3.9,14.4,21.1,102.8,Phoenix Suns*,82,19855,3143,6705,.469,527,1428,.369,2616,5277,.496,1618,2125,.761,916,2376,3292,2067,664,322,1180,1727,8431,Phoenix Suns*,82,19855,40.8,87.0,.469,6.8,18.5,.369,33.9,68.4,.496,21.0,27.6,.761,11.9,30.8,42.7,26.8,8.6,4.2,15.3,22.4,109.3,Phoenix Suns*,28.5,40,42,43,39,0.66,-0.45,0.21,109.3,108.6,+0.7,93.2,.317,.213,.552,,,,.508,13.4,27.1,.241,,,,.507,14.4,69.4,.215,,,,America West Arena,"779,940","19,023",Phoenix Suns*,82,19855,.469,12.8,,,,,,,.787,.326,.141,.160,.159,.213,,,,,,,.496,.610,.460,.353,.438,.369,,,,,,,.623,.827,,,,,,,.034,219,,,,,,,.147,.386,,,,,,,10,1
SEA,Seattle SuperSonics*,82,241.2,36.5,78.2,.467,6.8,19.3,.353,29.7,58.9,.504,21.0,28.0,.752,12.3,27.7,40.0,23.5,11.0,4.7,15.0,22.0,100.9,Seattle SuperSonics*,82,19780,2995,6415,.467,559,1583,.353,2436,4832,.504,1725,2295,.752,1010,2271,3281,1931,904,388,1231,1803,8274,Seattle SuperSonics*,82,19780,40.2,86.2,.467,7.5,21.3,.353,32.7,64.9,.504,23.2,30.8,.752,13.6,30.5,44.1,25.9,12.1,5.2,16.5,24.2,111.2,Seattle SuperSonics*,30.0,57,25,62,20,7.68,-0.77,6.91,111.2,102.7,+8.5,90.3,.358,.247,.557,,,,.510,14.2,30.9,.269,,,,.490,17.7,69.1,.242,,,,KeyArena at Seattle Center,"699,952","17,072",Seattle SuperSonics*,82,19780,.467,12.4,,,,,,,.753,.391,.136,.102,.124,.247,,,,,,,.504,.581,.429,.413,.420,.353,,,,,,,.583,.909,,,,,,,.048,283,,,,,,,.143,.379,,,,,,,8,0
BOS,Boston Celtics,82,242.7,37.4,85.0,.440,5.7,16.2,.351,31.7,68.7,.461,20.1,26.8,.750,13.4,26.7,40.0,21.9,9.9,3.8,16.4,23.4,100.6,Boston Celtics,82,19905,3066,6967,.440,467,1331,.351,2599,5636,.461,1649,2199,.750,1095,2188,3283,1792,810,315,1342,1915,8248,Boston Celtics,82,19905,38.6,87.7,.440,5.9,16.8,.351,32.7,71.0,.461,20.8,27.7,.750,13.8,27.5,41.3,22.6,10.2,4.0,16.9,24.1,103.9,Boston Celtics,26.1,15,67,22,60,-7.33,0.71,-6.62,103.9,111.4,-7.5,95.8,.316,.191,.520,,,,.474,14.5,29.4,.237,,,,.539,15.8,68.5,.243,,,,FleetCenter,"664,022","16,196",Boston Celtics,82,19905,.440,12.5,,,,,,,.809,.498,.093,.109,.109,.191,,,,,,,.461,.427,.499,.487,.556,.351,,,,,,,.542,.822,,,,,,,.029,197,,,,,,,.175,.438,,,,,,,2,0
HOU,Houston Rockets*,82,242.1,37.0,79.1,.468,8.2,22.4,.365,28.9,56.6,.509,18.3,24.3,.755,11.3,31.3,42.6,24.5,8.4,4.2,16.6,19.6,100.6,Houston Rockets*,82,19855,3037,6484,.468,671,1839,.365,2366,4645,.509,1503,1992,.755,927,2565,3492,2013,685,347,1365,1610,8248,Houston Rockets*,82,19855,40.1,85.5,.468,8.9,24.3,.365,31.2,61.3,.509,19.8,26.3,.755,12.2,33.8,46.1,26.6,9.0,4.6,18.0,21.2,108.8,Houston Rockets*,30.8,57,25,54,28,4.48,-0.62,3.85,108.8,104.0,+4.8,91.6,.307,.284,.560,,,,.520,15.6,28.4,.232,,,,.481,13.3,71.4,.190,,,,The Summit,"667,685","16,285",Houston Rockets*,82,19855,.468,13.0,,,,,,,.716,.311,.174,.137,.094,.284,,,,,,,.509,.606,.478,.389,.421,.365,,,,,,,.615,.833,,,,,,,.040,239,,,,,,,.136,.430,,,,,,,12,2
PHI,Philadelphia 76ers,82,241.2,36.6,83.5,.438,5.3,16.5,.319,31.3,67.0,.468,21.7,29.9,.725,15.5,28.7,44.2,20.7,8.3,4.8,17.5,21.1,100.2,Philadelphia 76ers,82,19780,3003,6850,.438,433,1356,.319,2570,5494,.468,1776,2450,.725,1267,2355,3622,1695,683,394,1437,1733,8215,Philadelphia 76ers,82,19780,38.2,87.2,.438,5.5,17.3,.319,32.7,70.0,.468,22.6,31.2,.725,16.1,30.0,46.1,21.6,8.7,5.0,18.3,22.1,104.6,Philadelphia 76ers,25.5,22,60,24,58,-6.54,0.65,-5.89,104.6,111.4,-6.8,95.3,.358,.198,.518,,,,.470,15.3,34.1,.259,,,,.510,13.8,66.5,.222,,,,CoreStates Center,"610,974","15,280",Philadelphia 76ers,82,19780,.438,12.6,,,,,,,.802,.407,.107,.152,.136,.198,,,,,,,.468,.521,.482,.349,.430,.319,,,,,,,.539,.716,,,,,,,.062,414,,,,,,,.089,.471,,,,,,,7,0
LAL,Los Angeles Lakers*,82,243.0,36.8,81.0,.454,6.7,18.3,.367,30.1,62.7,.480,19.7,28.4,.692,13.3,29.4,42.8,22.5,9.0,7.0,14.9,22.2,100.0,Los Angeles Lakers*,82,19930,3018,6642,.454,551,1500,.367,2467,5142,.480,1613,2330,.692,1092,2414,3506,1845,740,575,1222,1818,8200,Los Angeles Lakers*,82,19930,39.9,87.8,.454,7.3,19.8,.367,32.6,67.9,.480,21.3,30.8,.692,14.4,31.9,46.3,24.4,9.8,7.6,16.1,24.0,108.3,Los Angeles Lakers*,26.5,56,26,53,29,4.27,-0.61,3.66,108.3,103.7,+4.6,91.1,.351,.226,.535,,,,.496,13.7,31.6,.243,,,,.478,15.1,68.5,.231,,,,Great Western Forum,"697,159","17,004",Los Angeles Lakers*,82,19930,.454,12.3,,,,,,,.774,.387,.170,.119,.098,.226,,,,,,,.480,.545,.453,.357,.417,.367,,,,,,,.587,.717,,,,,,,.075,472,,,,,,,.095,.458,,,,,,,7,0
GSW,Golden State Warriors,82,242.7,36.5,80.1,.456,5.9,16.6,.353,30.7,63.5,.483,20.7,26.6,.778,13.2,27.5,40.8,22.2,7.5,4.4,17.2,21.8,99.6,Golden State Warriors,82,19905,2997,6567,.456,481,1363,.353,2516,5204,.483,1696,2180,.778,1086,2259,3345,1822,611,359,1410,1787,8171,Golden State Warriors,82,19905,39.3,86.1,.456,6.3,17.9,.353,33.0,68.3,.483,22.2,28.6,.778,14.2,29.6,43.9,23.9,8.0,4.7,18.5,23.4,107.2,Golden State Warriors,26.7,30,52,28,54,-4.71,-0.20,-4.90,107.2,112.2,-5.0,91.9,.332,.208,.543,,,,.493,15.8,32.3,.258,,,,.518,14.4,67.5,.234,,,,San Jose Arena,"621,844","15,167",Golden State Warriors,82,19905,.456,12.9,,,,,,,.792,.302,.153,.152,.185,.208,,,,,,,.483,.596,.416,.382,.438,.353,,,,,,,.578,.765,,,,,,,.041,245,,,,,,,.100,.404,,,,,,,4,0
WSB,Washington Bullets*,82,242.1,39.1,81.4,.480,4.0,12.2,.331,35.1,69.2,.507,17.1,24.1,.707,12.3,29.5,41.8,23.4,8.7,4.9,15.7,22.1,99.4,Washington Bullets*,82,19855,3208,6678,.480,331,1001,.331,2877,5677,.507,1400,1979,.707,1010,2420,3430,1921,712,402,1289,1815,8147,Washington Bullets*,82,19855,42.0,87.4,.480,4.3,13.1,.331,37.7,74.3,.507,18.3,25.9,.707,13.2,31.7,44.9,25.1,9.3,5.3,16.9,23.8,106.6,Washington Bullets*,25.9,44,38,46,36,1.62,0.15,1.77,106.6,104.9,+1.7,92.4,.296,.150,.540,,,,.505,14.6,30.2,.210,,,,.491,15.3,70.3,.226,,,,US Airways Arena,"700,646","17,681",Washington Bullets*,82,19855,.480,11.7,,,,,,,.850,.363,.162,.193,.132,.150,,,,,,,.507,.576,.504,.400,.476,.331,,,,,,,.570,.849,,,,,,,.063,414,,,,,,,.191,.346,,,,,,,8,0
