playerId,"Player Per Game, Player","Player Per Game, Age","Player Per Game, Team","Player Per Game, Pos","Player Per Game, G","Player Per Game, GS","Player Per Game, MP","Player Per Game, FG","Player Per Game, FGA","Player Per Game, FG%","Player Per Game, 3P","Player Per Game, 3PA","Player Per Game, 3P%","Player Per Game, 2P","Player Per Game, 2PA","Player Per Game, 2P%","Player Per Game, eFG%","Player Per Game, FT","Player Per Game, FTA","Player Per Game, FT%","Player Per Game, ORB","Player Per Game, DRB","Player Per Game, TRB","Player Per Game, AST","Player Per Game, STL","Player Per Game, BLK","Player Per Game, TOV","Player Per Game, PF","Player Per Game, PTS","Player Per Game, Awards","Player Totals, Player","Player Totals, Age","Player Totals, Team","Player Totals, Pos","Player Totals, G","Player Totals, GS","Player Totals, MP","Player Totals, FG","Player Totals, FGA","Player Totals, FG%","Player Totals, 3P","Player Totals, 3PA","Player Totals, 3P%","Player Totals, 2P","Player Totals, 2PA","Player Totals, 2P%","Player Totals, eFG%","Player Totals, FT","Player Totals, FTA","Player Totals, FT%","Player Totals, ORB","Player Totals, DRB","Player Totals, TRB","Player Totals, AST","Player Totals, STL","Player Totals, BLK","Player Totals, TOV","Player Totals, PF","Player Totals, PTS","Player Totals, Trp-Dbl","Player Totals, Awards","Player Per 100 Poss, Player","Player Per 100 Poss, Age","Player Per 100 Poss, Team","Player Per 100 Poss, Pos","Player Per 100 Poss, G","Player Per 100 Poss, GS","Player Per 100 Poss, MP","Player Per 100 Poss, FG","Player Per 100 Poss, FGA","Player Per 100 Poss, FG%","Player Per 100 Poss, 3P","Player Per 100 Poss, 3PA","Player Per 100 Poss, 3P%","Player Per 100 Poss, 2P","Player Per 100 Poss, 2PA","Player Per 100 Poss, 2P%","Player Per 100 Poss, eFG%","Player Per 100 Poss, FT","Player Per 100 Poss, FTA","Player Per 100 Poss, FT%","Player Per 100 Poss, ORB","Player Per 100 Poss, DRB","Player Per 100 Poss, TRB","Player Per 100 Poss, AST","Player Per 100 Poss, STL","Player Per 100 Poss, BLK","Player Per 100 Poss, TOV","Player Per 100 Poss, PF","Player Per 100 Poss, PTS","Player Per 100 Poss, ORtg","Player Per 100 Poss, DRtg","Player Per 100 Poss, Awards","Player Advanced, Player","Player Advanced, Pos","Player Advanced, Age","Player Advanced, Team","Player Advanced, G","Player Advanced, MP","Player Advanced, PER","Player Advanced, TS%","Player Advanced, 3PAr","Player Advanced, FTr","Player Advanced, ORB%","Player Advanced, DRB%","Player Advanced, TRB%","Player Advanced, AST%","Player Advanced, STL%","Player Advanced, BLK%","Player Advanced, TOV%","Player Advanced, USG%","Player Advanced, ","Player Advanced, ","Player Advanced, OWS","Player Advanced, DWS","Player Advanced, WS","Player Advanced, WS/48","Player Advanced, ","Player Advanced, ","Player Advanced, OBPM","Player Advanced, DBPM","Player Advanced, BPM","Player Advanced, VORP","Player Play-by-Play, Player","Player Play-by-Play, Pos","Player Play-by-Play, Age","Player Play-by-Play, Team","Player Play-by-Play, Totals, G","Player Play-by-Play, Totals, MP","Player Play-by-Play, Position Estimate, PG%","Player Play-by-Play, Position Estimate, SG%","Player Play-by-Play, Position Estimate, SF%","Player Play-by-Play, Position Estimate, PF%","Player Play-by-Play, Position Estimate, C%","Player Play-by-Play, +/- Per 100 Poss., OnCourt","Player Play-by-Play, +/- Per 100 Poss., On-Off","Player Play-by-Play, Turnovers, BadPass","Player Play-by-Play, Turnovers, LostBall","Player Play-by-Play, Fouls Committed, Shoot","Player Play-by-Play, Fouls Committed, Off.","Player Play-by-Play, Fouls Drawn, Shoot","Player Play-by-Play, Fouls Drawn, Off.","Player Play-by-Play, Misc., PGA","Player Play-by-Play, Misc., And1","Player Play-by-Play, Misc., Blkd","Player Shooting, Player","Player Shooting, Pos","Player Shooting, Age","Player Shooting, Team","Player Shooting, G","Player Shooting, MP","Player Shooting, FG%","Player Shooting, Dist.","Player Shooting, ","Player Shooting, ","Player Shooting, ","Player Shooting, ","Player Shooting, ","Player Shooting, ","Player Shooting, % of FGA by Distance, 2P","Player Shooting, % of FGA by Distance, 0-3","Player Shooting, % of FGA by Distance, 3-10","Player Shooting, % of FGA by Distance, 10-16","Player Shooting, % of FGA by Distance, 16-3P","Player Shooting, % of FGA by Distance, 3P","Player Shooting, ","Player Shooting, ","Player Shooting, ","Player Shooting, ","Player Shooting, ","Player Shooting, ","Player Shooting, FG% by Distance, 2P","Player Shooting, FG% by Distance, 0-3","Player Shooting, FG% by Distance, 3-10","Player Shooting, FG% by Distance, 10-16","Player Shooting, FG% by Distance, 16-3P","Player Shooting, FG% by Distance, 3P","Player Shooting, ","Player Shooting, ","Player Shooting, ","Player Shooting, ","Player Shooting, ","Player Shooting, ","Player Shooting, % of FG Ast'd, 2P","Player Shooting, % of FG Ast'd, 3P","Player Shooting, ","Player Shooting, ","Player Shooting, ","Player Shooting, ","Player Shooting, ","Player Shooting, ","Player Shooting, Dunks, %FGA","Player Shooting, Dunks, #","Player Shooting, ","Player Shooting, ","Player Shooting, ","Player Shooting, ","Player Shooting, ","Player Shooting, ","Player Shooting, Corner 3s, %3PA","Player Shooting, Corner 3s, 3P%","Player Shooting, ","Player Shooting, ","Player Shooting, ","Player Shooting, ","Player Shooting, ","Player Shooting, ","Player Shooting, Heaves, Att.","Player Shooting, Heaves, #","Player Adjusted Shooting, Player","Player Adjusted Shooting, Pos","Player Adjusted Shooting, Age","Player Adjusted Shooting, Team","Player Adjusted Shooting, G","Player Adjusted Shooting, MP","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, Player Shooting %, FG","Player Adjusted Shooting, Player Shooting %, 2P","Player Adjusted Shooting, Player Shooting %, 3P","Player Adjusted Shooting, Player Shooting %, eFG","Player Adjusted Shooting, Player Shooting %, FT","Player Adjusted Shooting, Player Shooting %, TS","Player Adjusted Shooting, Player Shooting %, FTr","Player Adjusted Shooting, Player Shooting %, 3PAr","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, League-Adjusted, FG+","Player Adjusted Shooting, League-Adjusted, 2P+","Player Adjusted Shooting, League-Adjusted, 3P+","Player Adjusted Shooting, League-Adjusted, eFG+","Player Adjusted Shooting, League-Adjusted, FT+","Player Adjusted Shooting, League-Adjusted, TS+","Player Adjusted Shooting, League-Adjusted, FTr+","Player Adjusted Shooting, League-Adjusted, 3PAr+","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, ","Player Adjusted Shooting, FG Add","Player Adjusted Shooting, TS Add","MVP, Player","MVP, Age","MVP, Tm","MVP, Voting, First","MVP, Voting, Pts Won","MVP, Voting, Pts Max","MVP, Voting, Share","MVP, G","MVP, Per Game, MP","MVP, Per Game, PTS","MVP, Per Game, TRB","MVP, Per Game, AST","MVP, Per Game, STL","MVP, Per Game, BLK","MVP, Shooting, FG%","MVP, Shooting, 3P%","MVP, Shooting, FT%","MVP, Advanced, WS","MVP, Advanced, WS/48"
iversal01,Allen Iverson,26,PHI,SG,60,59,43.7,11.1,27.8,.398,1.3,4.5,.291,9.8,23.4,.419,.422,7.9,9.8,.812,0.7,3.8,4.5,5.5,2.8,0.2,4.0,1.7,31.4,"MVP-9,AS,NBA2",Allen Iverson,26,PHI,SG,60,59,2622,665,1669,.398,78,268,.291,587,1401,.419,.422,475,585,.812,44,225,269,331,168,13,237,102,1883,1,"MVP-9,AS,NBA2",Allen Iverson,26,PHI,SG,60,59,2622,13.7,34.4,.398,1.6,5.5,.291,12.1,28.9,.419,.422,9.8,12.0,.812,0.9,4.6,5.5,6.8,3.5,0.3,4.9,2.1,38.8,101,100,"MVP-9,AS,NBA2",Allen Iverson*,SG,26,SAC,60,2622,21.9,.489,.161,.351,1.9,9.6,5.8,27.6,3.5,0.4,11.0,37.8,,,2.6,4.3,6.9,.126,,,3.9,0.8,4.8,4.5,Allen Iverson*,SG,26,SAC,60,2622,16%,77%,7%,,,5.2,10.0,117,76,33,22,203,,689,38,93,Allen Iverson*,SG,26,SAC,60,2622,.398,13.2,,,,,,,.839,.239,.107,.192,.301,.161,,,,,,,.419,.564,.380,.299,.394,.291,,,,,,,.375,.782,,,,,,,.005,9,,,,,,,.086,.522,,,,,,,0,0,Allen Iverson,SG,26,TOR,60,2622,,,,.398,.419,.291,.422,.812,.489,.351,.161,,,,90,90,82,88,108,94,120,88,,,,-184.7,-121.6,Allen Iverson,26,PHI,0,29,1260,0.023,60,43.7,31.4,4.5,5.5,2.8,0.2,.398,.291,.812,6.9,.126
onealsh01,Shaquille O'Neal,29,LAL,C,67,66,36.1,10.6,18.3,.579,0.0,0.0,.000,10.6,18.3,.580,.579,5.9,10.7,.555,3.5,7.2,10.7,3.0,0.6,2.0,2.6,3.0,27.2,"MVP-3,AS,NBA1",Shaquille O'Neal,29,LAL,C,67,66,2422,712,1229,.579,0,1,.000,712,1228,.580,.579,398,717,.555,235,480,715,200,41,137,171,199,1822,0,"MVP-3,AS,NBA1",Shaquille O'Neal,29,LAL,C,67,66,2422,15.3,26.4,.579,0.0,0.0,.000,15.3,26.4,.580,.579,8.6,15.4,.555,5.1,10.3,15.4,4.3,0.9,2.9,3.7,4.3,39.2,116,99,"MVP-3,AS,NBA1",Shaquille O'Neal*,C,29,CHI,67,2422,29.7,.590,.001,.583,10.8,21.6,16.3,16.4,0.9,4.1,10.0,31.8,,,9.2,4.0,13.2,.262,,,7.1,0.9,8.0,6.1,Shaquille O'Neal*,C,29,CHI,67,2422,,,,,100%,11.3,9.9,56,36,103,43,318,,446,108,56,Shaquille O'Neal*,C,29,CHI,67,2422,.579,3.8,,,,,,,.999,.509,.409,.078,.002,.001,,,,,,,.580,.744,.447,.219,.000,.000,,,,,,,.612,,,,,,,,.216,252,,,,,,,.000,,,,,,,,0,0,Shaquille O'Neal,C,29,LAC,67,2422,,,,.579,.580,.000,.579,.555,.590,.583,.001,,,,130,125,,121,74,113,199,,,,,251.2,214.8,Shaquille O'Neal,29,LAL,15,696,1260,0.552,67,36.1,27.2,10.7,3.0,0.6,2.0,.579,.000,.555,13.2,.262
piercpa01,Paul Pierce,24,BOS,SG,82,82,40.3,8.6,19.5,.442,2.6,6.3,.404,6.1,13.1,.461,.508,6.3,7.8,.809,1.0,5.9,6.9,3.2,1.9,1.0,2.9,2.9,26.1,"MVP-11,AS,NBA3",Paul Pierce,24,BOS,SG,82,82,3302,707,1598,.442,210,520,.404,497,1078,.461,.508,520,643,.809,81,485,566,261,154,86,241,237,2144,0,"MVP-11,AS,NBA3",Paul Pierce,24,BOS,SG,82,82,3302,11.1,25.1,.442,3.3,8.2,.404,7.8,16.9,.461,.508,8.2,10.1,.809,1.3,7.6,8.9,4.1,2.4,1.4,3.8,3.7,33.7,109,99,"MVP-11,AS,NBA3",Paul Pierce*,SG,24,POR,82,3302,22.3,.570,.325,.402,2.6,16.5,9.4,15.7,2.4,2.0,11.4,29.3,,,7.3,5.6,12.9,.187,,,4.7,1.3,5.9,6.6,Paul Pierce*,SG,24,POR,82,3302,,74%,26%,,,4.4,12.4,104,86,109,33,259,,609,56,97,Paul Pierce*,SG,24,POR,82,3302,.442,14.9,,,,,,,.675,.260,.071,.118,.225,.325,,,,,,,.461,.600,.289,.354,.411,.404,,,,,,,.543,.767,,,,,,,.033,50,,,,,,,.110,.281,,,,,,,6,1,Paul Pierce,SG,24,MIL,82,3302,,,,.442,.461,.404,.508,.809,.570,.402,.325,,,,99,99,114,106,107,110,137,179,,,,99.1,186.8,Paul Pierce,24,BOS,0,22,1260,0.017,82,40.3,26.1,6.9,3.2,1.9,1.0,.442,.404,.809,12.9,.187
mcgratr01,Tracy McGrady,22,ORL,SG,76,76,38.3,9.4,20.9,.451,1.4,3.7,.364,8.1,17.1,.470,.483,5.5,7.3,.748,2.0,5.9,7.9,5.3,1.6,1.0,2.5,1.8,25.6,"MVP-4,AS,NBA1",Tracy McGrady,22,ORL,SG,76,76,2912,715,1586,.451,103,283,.364,612,1303,.470,.483,415,555,.748,150,447,597,400,119,73,189,139,1948,1,"MVP-4,AS,NBA1",Tracy McGrady,22,ORL,SG,76,76,2912,12.6,28.1,.451,1.8,5.0,.364,10.8,23.0,.470,.483,7.3,9.8,.748,2.7,7.9,10.6,7.1,2.1,1.3,3.3,2.5,34.5,111,103,"MVP-4,AS,NBA1",Tracy McGrady*,SG,22,LAC,76,2912,25.1,.532,.178,.350,5.7,17.3,11.5,25.8,2.1,1.8,9.4,31.1,,,8.1,3.4,11.5,.189,,,6.4,0.4,6.8,6.4,Tracy McGrady*,SG,22,LAC,76,2912,2%,79%,19%,,,4.9,11.7,90,75,64,15,254,,930,58,79,Tracy McGrady*,SG,22,LAC,76,2912,.451,12.3,,,,,,,.822,.307,.122,.114,.278,.178,,,,,,,.470,.624,.392,.409,.358,.364,,,,,,,.391,.602,,,,,,,.079,114,,,,,,,.074,.381,,,,,,,6,0,Tracy McGrady,SG,22,PHI,76,2912,,,,.451,.470,.364,.483,.748,.532,.350,.178,,,,101,101,103,101,99,102,119,98,,,,19.5,43.5,Tracy McGrady,22,ORL,7,390,1260,0.310,76,38.3,25.6,7.9,5.3,1.6,1.0,.451,.364,.748,11.5,.189
duncati01,Tim Duncan,25,SAS,PF,82,82,40.6,9.3,18.3,.508,0.0,0.1,.100,9.3,18.2,.511,.508,6.8,8.5,.799,3.3,9.4,12.7,3.7,0.7,2.5,3.2,2.6,25.5,"MVP-1,AS,NBA1",Tim Duncan,25,SAS,PF,82,82,3329,764,1504,.508,1,10,.100,763,1494,.511,.508,560,701,.799,268,774,1042,307,61,203,263,217,2089,0,"MVP-1,AS,NBA1",Tim Duncan,25,SAS,PF,82,82,3329,12.2,24.1,.508,0.0,0.2,.100,12.2,23.9,.511,.508,9.0,11.2,.799,4.3,12.4,16.7,4.9,1.0,3.3,4.2,3.5,33.5,114,96,"MVP-1,AS,NBA1",Tim Duncan*,PF,25,NYK,82,3329,27.0,.576,.007,.466,9.6,25.9,18.0,18.3,1.0,4.3,12.7,29.0,,,10.7,7.1,17.8,.257,,,5.4,2.2,7.6,8.0,Tim Duncan*,PF,25,NYK,82,3329,,,,61%,39%,8.7,9.4,119,82,96,35,304,,684,70,113,Tim Duncan*,PF,25,NYK,82,3329,.508,7.6,,,,,,,.993,.311,.337,.256,.089,.007,,,,,,,.511,.714,.450,.405,.336,.100,,,,,,,.464,1.000,,,,,,,.071,102,,,,,,,.100,1.000,,,,,,,0,0,Tim Duncan,PF,25,MIA,82,3329,,,,.508,.511,.100,.508,.799,.576,.466,.007,,,,114,110,28,107,106,111,159,4,,,,93.8,203.0,Tim Duncan,25,SAS,57,954,1260,0.757,82,40.6,25.5,12.7,3.7,0.7,2.5,.508,.100,.799,17.8,.257
bryanko01,Kobe Bryant,23,LAL,SG,80,80,38.3,9.4,20.0,.469,0.4,1.7,.250,9.0,18.3,.489,.479,6.1,7.4,.829,1.4,4.1,5.5,5.5,1.5,0.4,2.8,2.9,25.2,"MVP-5,DPOY-3,AS,NBA1",Kobe Bryant,23,LAL,SG,80,80,3063,749,1597,.469,33,132,.250,716,1465,.489,.479,488,589,.829,112,329,441,438,118,35,223,228,2019,1,"MVP-5,DPOY-3,AS,NBA1",Kobe Bryant,23,LAL,SG,80,80,3063,12.7,27.2,.469,0.6,2.2,.250,12.2,24.9,.489,.479,8.3,10.0,.829,1.9,5.6,7.5,7.5,2.0,0.6,3.8,3.9,34.4,112,103,"MVP-5,DPOY-3,AS,NBA1",Kobe Bryant*,SG,23,SAS,80,3063,23.2,.544,.083,.369,4.1,11.7,7.9,25.9,2.0,0.8,10.7,30.4,,,8.9,3.8,12.7,.199,,,4.3,0.3,4.6,5.2,Kobe Bryant*,SG,23,SAS,80,3063,,96%,4%,,,7.0,-2.0,109,65,60,32,205,,1036,48,88,Kobe Bryant*,SG,23,SAS,80,3063,.469,12.0,,,,,,,.917,.249,.142,.212,.315,.083,,,,,,,.489,.658,.460,.450,.394,.250,,,,,,,.363,.576,,,,,,,.061,88,,,,,,,.061,.125,,,,,,,3,1,Kobe Bryant,SG,23,ORL,80,3063,,,,.469,.489,.250,.479,.829,.544,.369,.083,,,,105,105,71,100,110,105,126,46,,,,7.0,87.5,Kobe Bryant,23,LAL,1,98,1260,0.078,80,38.3,25.2,5.5,5.5,1.5,0.4,.469,.250,.829,12.7,.199
cartevi01,Vince Carter,25,TOR,SG,60,60,39.8,9.3,21.8,.428,2.0,5.2,.387,7.3,16.6,.441,.474,4.1,5.1,.798,2.3,2.9,5.2,4.0,1.6,0.7,2.6,3.2,24.7,AS,Vince Carter,25,TOR,SG,60,60,2385,559,1307,.428,121,313,.387,438,994,.441,.474,245,307,.798,138,175,313,239,94,43,154,191,1484,0,AS,Vince Carter,25,TOR,SG,60,60,2385,12.7,29.6,.428,2.7,7.1,.387,9.9,22.5,.441,.474,5.6,7.0,.798,3.1,4.0,7.1,5.4,2.1,1.0,3.5,4.3,33.6,107,105,AS,Vince Carter*,SG,25,MIL,60,2385,20.5,.515,.239,.235,6.4,8.7,7.5,19.9,2.1,1.3,9.6,30.5,,,4.6,2.4,7.0,.140,,,4.7,-0.3,4.4,3.9,Vince Carter*,SG,25,MIL,60,2385,,70%,29%,,,1.3,4.9,76,44,89,24,106,,519,22,37,Vince Carter*,SG,25,MIL,60,2385,.428,14.1,,,,,,,.761,.216,.132,.138,.275,.239,,,,,,,.441,.571,.436,.370,.376,.387,,,,,,,.425,.851,,,,,,,.051,59,,,,,,,.176,.418,,,,,,,1,0,Vince Carter,SG,25,CHI,60,2385,,,,.428,.441,.387,.474,.798,.515,.235,.239,,,,96,95,109,99,106,99,80,132,,,,-8.2,-16.6,,,,,,,,,,,,,,,,,,,
webbech01,Chris Webber,28,SAC,PF,54,54,38.4,9.9,19.9,.495,0.1,0.4,.263,9.8,19.6,.499,.497,4.7,6.3,.749,2.8,7.3,10.1,4.8,1.7,1.4,2.9,3.4,24.5,"MVP-7,AS,NBA2",Chris Webber,28,SAC,PF,54,54,2071,532,1075,.495,5,19,.263,527,1056,.499,.497,253,338,.749,150,396,546,258,90,76,158,181,1322,0,"MVP-7,AS,NBA2",Chris Webber,28,SAC,PF,54,54,2071,12.9,26.1,.495,0.1,0.5,.263,12.8,25.6,.499,.497,6.1,8.2,.749,3.6,9.6,13.2,6.3,2.2,1.8,3.8,4.4,32.1,109,98,"MVP-7,AS,NBA2",Chris Webber*,PF,28,,54,2071,24.4,.540,.018,.314,7.9,20.1,14.1,21.9,2.2,2.4,11.4,29.0,,,4.8,3.9,8.6,.200,,,3.8,1.6,5.4,3.9,Chris Webber*,PF,28,,54,2071,,,,91%,9%,9.5,3.4,76,42,73,28,164,,567,41,37,Chris Webber*,PF,28,,54,2071,.495,10.2,,,,,,,.982,.292,.187,.137,.367,.018,,,,,,,.499,.685,.363,.456,.437,.263,,,,,,,.594,1.000,,,,,,,.081,77,,,,,,,.000,,,,,,,,0,0,Chris Webber,PF,28,WAS,54,2071,,,,.495,.499,.263,.497,.749,.540,.314,.018,,,,111,107,74,104,99,104,107,10,,,,43.2,48.6,Chris Webber,28,SAC,0,37,1260,0.029,54,38.4,24.5,10.1,4.8,1.7,1.4,.495,.263,.749,8.6,.200
nowitdi01,Dirk Nowitzki,23,DAL,C,76,76,38.0,7.9,16.6,.477,1.8,4.6,.397,6.1,11.9,.508,.532,5.8,6.8,.853,1.6,8.4,9.9,2.4,1.1,1.0,1.9,2.9,23.4,"MVP-8,AS,NBA2",Dirk Nowitzki,23,DAL,C,76,76,2891,600,1258,.477,139,350,.397,461,908,.508,.532,440,516,.853,120,635,755,186,83,77,145,222,1779,0,"MVP-8,AS,NBA2",Dirk Nowitzki,23,DAL,C,76,76,2891,10.7,22.5,.477,2.5,6.3,.397,8.2,16.2,.508,.532,7.9,9.2,.853,2.1,11.4,13.5,3.3,1.5,1.4,2.6,4.0,31.8,120,104,"MVP-8,AS,NBA2",Dirk Nowitzki*,C,23,IND,76,2891,24.1,.599,.278,.410,4.7,24.0,14.5,10.8,1.5,1.9,8.9,25.5,,,10.2,3.1,13.4,.222,,,5.4,0.1,5.5,5.5,Dirk Nowitzki*,C,23,IND,76,2891,,,,25%,75%,6.8,8.0,77,32,150,23,218,,426,49,62,Dirk Nowitzki*,C,23,IND,76,2891,.477,14.2,,,,,,,.722,.241,.078,.154,.249,.278,,,,,,,.508,.611,.347,.438,.502,.397,,,,,,,.610,.964,,,,,,,.039,45,,,,,,,.100,.343,,,,,,,0,0,Dirk Nowitzki,C,23,TOR,76,2891,,,,.477,.508,.397,.532,.853,.599,.410,.278,,,,107,109,112,112,113,115,140,153,,,,138.5,233.7,Dirk Nowitzki,23,DAL,0,31,1260,0.025,76,38.0,23.4,9.9,2.4,1.1,1.0,.477,.397,.853,13.4,.222
jordami01,Michael Jordan,38,WAS,SF,60,53,34.9,9.2,22.1,.416,0.2,0.9,.189,9.0,21.2,.426,.420,4.4,5.6,.790,0.8,4.8,5.7,5.2,1.4,0.4,2.7,2.0,22.9,"MVP-13,AS",Michael Jordan,38,WAS,SF,60,53,2093,551,1324,.416,10,53,.189,541,1271,.426,.420,263,333,.790,50,289,339,310,85,26,162,119,1375,0,"MVP-13,AS",Michael Jordan,38,WAS,SF,60,53,2093,14.3,34.4,.416,0.3,1.4,.189,14.0,33.0,.426,.420,6.8,8.6,.790,1.3,7.5,8.8,8.0,2.2,0.7,4.2,3.1,35.7,99,105,"MVP-13,AS",Michael Jordan*,SF,38,POR,60,2093,20.7,.468,.040,.252,2.7,16.2,9.4,30.8,2.2,0.9,9.9,36.0,,,1.2,2.1,3.3,.075,,,3.2,-0.1,3.1,2.7,Michael Jordan*,SF,38,POR,60,2093,,18%,77%,4%,,0.1,3.1,88,59,58,10,137,,685,29,52,Michael Jordan*,SF,38,POR,60,2093,.416,13.7,,,,,,,.960,.122,.112,.328,.399,.040,,,,,,,.426,.615,.297,.419,.409,.189,,,,,,,.442,.700,,,,,,,.015,20,,,,,,,.038,.500,,,,,,,0,0,Michael Jordan,SF,38,NJN,60,2093,,,,.416,.426,.189,.420,.790,.468,.252,.040,,,,94,91,53,88,105,90,86,22,,,,-151.4,-155.2,Michael Jordan,38,WAS,0,16,1260,0.013,60,34.9,22.9,5.7,5.2,1.4,0.4,.416,.189,.790,3.3,.075
