Team,"Team Per Game, TeamName","Team Per Game, G","Team Per Game, MP","Team Per Game, FG","Team Per Game, FGA","Team Per Game, FG%","Team Per Game, 3P","Team Per Game, 3PA","Team Per Game, 3P%","Team Per Game, 2P","Team Per Game, 2PA","Team Per Game, 2P%","Team Per Game, FT","Team Per Game, FTA","Team Per Game, FT%","Team Per Game, ORB","Team Per Game, DRB","Team Per Game, TRB","Team Per Game, AST","Team Per Game, STL","Team Per Game, BLK","Team Per Game, TOV","Team Per Game, PF","Team Per Game, PTS","Team Totals, TeamName","Team Totals, G","Team Totals, MP","Team Totals, FG","Team Totals, FGA","Team Totals, FG%","Team Totals, 3P","Team Totals, 3PA","Team Totals, 3P%","Team Totals, 2P","Team Totals, 2PA","Team Totals, 2P%","Team Totals, FT","Team Totals, FTA","Team Totals, FT%","Team Totals, ORB","Team Totals, DRB","Team Totals, TRB","Team Totals, AST","Team Totals, STL","Team Totals, BLK","Team Totals, TOV","Team Totals, PF","Team Totals, PTS","Team Per 100 Poss, TeamName","Team Per 100 Poss, G","Team Per 100 Poss, MP","Team Per 100 Poss, FG","Team Per 100 Poss, FGA","Team Per 100 Poss, FG%","Team Per 100 Poss, 3P","Team Per 100 Poss, 3PA","Team Per 100 Poss, 3P%","Team Per 100 Poss, 2P","Team Per 100 Poss, 2PA","Team Per 100 Poss, 2P%","Team Per 100 Poss, FT","Team Per 100 Poss, FTA","Team Per 100 Poss, FT%","Team Per 100 Poss, ORB","Team Per 100 Poss, DRB","Team Per 100 Poss, TRB","Team Per 100 Poss, AST","Team Per 100 Poss, STL","Team Per 100 Poss, BLK","Team Per 100 Poss, TOV","Team Per 100 Poss, PF","Team Per 100 Poss, PTS","Team Advanced, TeamName","Team Advanced, Age","Team Advanced, W","Team Advanced, L","Team Advanced, PW","Team Advanced, PL","Team Advanced, MOV","Team Advanced, SOS","Team Advanced, SRS","Team Advanced, ORtg","Team Advanced, DRtg","Team Advanced, NRtg","Team Advanced, Pace","Team Advanced, FTr","Team Advanced, 3PAr","Team Advanced, TS%","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Offense Four Factors, eFG%","Team Advanced, Offense Four Factors, TOV%","Team Advanced, Offense Four Factors, ORB%","Team Advanced, Offense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Defense Four Factors, eFG%","Team Advanced, Defense Four Factors, TOV%","Team Advanced, Defense Four Factors, DRB%","Team Advanced, Defense Four Factors, FT/FGA","Team Advanced,  ","Team Advanced,  ","Team Advanced,  ","Team Advanced, Arena","Team Advanced, Attend.","Team Advanced, Attend./G","Team Shooting, TeamName","Team Shooting, G","Team Shooting, MP","Team Shooting, FG%","Team Shooting, Dist.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FGA by Distance, 2P","Team Shooting, % of FGA by Distance, 0-3","Team Shooting, % of FGA by Distance, 3-10","Team Shooting, % of FGA by Distance, 10-16","Team Shooting, % of FGA by Distance, 16-3P","Team Shooting, % of FGA by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, FG% by Distance, 2P","Team Shooting, FG% by Distance, 0-3","Team Shooting, FG% by Distance, 3-10","Team Shooting, FG% by Distance, 10-16","Team Shooting, FG% by Distance, 16-3P","Team Shooting, FG% by Distance, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, % of FG Ast'd, 2P","Team Shooting, % of FG Ast'd, 3P","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Dunks, %FGA","Team Shooting, Dunks, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Layups, %FGA","Team Shooting, Layups, Md.","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Corner, %3PA","Team Shooting, Corner, 3P%","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting,  ","Team Shooting, Heaves, Att.","Team Shooting, Heaves, Md."
MIN,Minnesota Timberwolves*,82,241.2,41.6,91.0,.457,14.8,41.3,.358,26.8,49.7,.540,18.0,23.1,.778,11.2,32.9,44.2,25.7,8.8,5.6,14.3,21.8,115.9,Minnesota Timberwolves*,82,19780,3411,7458,.457,1211,3386,.358,2200,4072,.540,1474,1894,.778,921,2700,3621,2106,721,460,1175,1786,9507,Minnesota Timberwolves*,82,19780,41.0,89.7,.457,14.6,40.7,.358,26.5,49.0,.540,17.7,22.8,.778,11.1,32.5,43.5,25.3,8.7,5.5,14.1,21.5,114.3,Minnesota Timberwolves*,24.2,46,36,48,34,2.63,-0.10,2.53,114.3,111.7,+2.6,100.9,.254,.454,.573,,,,.539,12.4,24.4,.198,,,,.535,14.2,74.9,.227,,,,Target Center,"657,148","16,028",Minnesota Timberwolves*,82,19780,.457,14.5,,,,,,,,.546,.267,.173,.059,.047,.454,,,,,,,,.540,.677,.413,.432,.366,.358,,,,,,,,.519,.797,,,,,,,,.066,429,,,,,,,,.278,1136,,,,,,,,.223,.394,,,,,,,,19,0
MEM,Memphis Grizzlies*,82,241.2,43.5,94.4,.461,11.5,32.7,.353,32.0,61.7,.519,17.0,23.1,.734,14.1,35.0,49.2,26.0,9.8,6.5,13.2,19.8,115.6,Memphis Grizzlies*,82,19780,3571,7739,.461,945,2679,.353,2626,5060,.519,1393,1898,.734,1159,2873,4032,2131,800,533,1082,1620,9480,Memphis Grizzlies*,82,19780,43.2,93.6,.461,11.4,32.4,.353,31.8,61.2,.519,16.8,23.0,.734,14.0,34.7,48.8,25.8,9.7,6.4,13.1,19.6,114.6,Memphis Grizzlies*,24.0,56,26,55,27,5.68,-0.32,5.37,114.6,109.0,+5.6,100.3,.245,.346,.553,,,,.522,11.2,30.0,.180,,,,.523,13.3,77.8,.195,,,,FedEx Forum,"646,785","15,775",Memphis Grizzlies*,82,19780,.461,12.9,,,,,,,,.654,.263,.235,.111,.045,.346,,,,,,,,.519,.674,.423,.410,.382,.353,,,,,,,,.504,.854,,,,,,,,.056,384,,,,,,,,.272,1165,,,,,,,,.231,.368,,,,,,,,14,0
MIL,Milwaukee Bucks*,82,240.9,41.8,89.4,.468,14.1,38.4,.366,27.8,51.0,.544,17.8,22.9,.776,10.2,36.5,46.7,23.9,7.6,4.0,13.4,18.2,115.5,Milwaukee Bucks*,82,19755,3429,7331,.468,1153,3151,.366,2276,4180,.544,1459,1881,.776,840,2990,3830,1960,623,326,1100,1494,9470,Milwaukee Bucks*,82,19755,41.7,89.1,.468,14.0,38.3,.366,27.7,50.8,.544,17.7,22.9,.776,10.2,36.3,46.6,23.8,7.6,4.0,13.4,18.2,115.1,Milwaukee Bucks*,28.5,51,31,49,33,3.35,-0.14,3.22,115.1,111.8,+3.3,99.9,.257,.430,.580,,,,.546,11.9,23.0,.199,,,,.536,11.6,78.6,.165,,,,Fiserv Forum,"715,581","17,453",Milwaukee Bucks*,82,19755,.468,15.1,,,,,,,,.570,.236,.161,.103,.070,.430,,,,,,,,.544,.717,.420,.446,.395,.366,,,,,,,,.461,.789,,,,,,,,.049,317,,,,,,,,.251,1080,,,,,,,,.241,.393,,,,,,,,11,0
CHO,Charlotte Hornets,82,242.4,42.8,91.4,.468,13.9,38.2,.365,28.8,53.3,.542,15.8,21.4,.740,10.8,33.7,44.6,28.1,8.6,4.9,13.3,19.9,115.3,Charlotte Hornets,82,19880,3508,7497,.468,1143,3130,.365,2365,4367,.542,1298,1753,.740,888,2767,3655,2302,707,402,1087,1629,9457,Charlotte Hornets,82,19880,42.3,90.5,.468,13.8,37.8,.365,28.5,52.7,.542,15.7,21.2,.740,10.7,33.4,44.1,27.8,8.5,4.9,13.1,19.7,114.1,Charlotte Hornets,25.5,43,39,42,40,0.44,0.09,0.53,114.1,113.7,+0.4,100.0,.234,.418,.572,,,,.544,11.6,23.3,.173,,,,.544,13.1,74.8,.187,,,,Spectrum Center,"700,755","17,092",Charlotte Hornets,82,19880,.468,13.9,,,,,,,,.582,.290,.177,.069,.047,.418,,,,,,,,.542,.690,.385,.402,.419,.365,,,,,,,,.559,.857,,,,,,,,.079,531,,,,,,,,.285,1141,,,,,,,,.287,.372,,,,,,,,20,0
PHO,Phoenix Suns*,82,240.6,43.7,90.1,.485,11.6,31.9,.364,32.1,58.2,.551,15.9,19.9,.797,9.8,35.5,45.3,27.4,8.6,4.4,12.9,19.9,114.8,Phoenix Suns*,82,19730,3581,7389,.485,951,2616,.364,2630,4773,.551,1303,1635,.797,801,2913,3714,2244,702,359,1060,1633,9416,Phoenix Suns*,82,19730,43.7,90.1,.485,11.6,31.9,.364,32.1,58.2,.551,15.9,19.9,.797,9.8,35.5,45.3,27.4,8.6,4.4,12.9,19.9,114.8,Phoenix Suns*,27.5,64,18,59,23,7.50,-0.56,6.94,114.8,107.3,+7.5,99.8,.221,.354,.581,,,,.549,11.6,22.3,.176,,,,.510,13.0,77.1,.195,,,,Phoenix Suns Arena,"663,171","16,175",Phoenix Suns*,82,19730,.485,14.2,,,,,,,,.646,.188,.222,.149,.088,.354,,,,,,,,.551,.709,.503,.497,.427,.364,,,,,,,,.552,.832,,,,,,,,.053,370,,,,,,,,.220,951,,,,,,,,.260,.390,,,,,,,,13,0
ATL,Atlanta Hawks*,82,240.3,41.5,88.3,.470,12.9,34.4,.374,28.6,53.9,.531,18.1,22.3,.812,10.0,33.9,44.0,24.6,7.2,4.2,11.9,18.7,113.9,Atlanta Hawks*,82,19705,3401,7241,.470,1056,2821,.374,2345,4420,.531,1485,1829,.812,823,2783,3606,2017,587,348,972,1534,9343,Atlanta Hawks*,82,19705,42.4,90.3,.470,13.2,35.2,.374,29.2,55.1,.531,18.5,22.8,.812,10.3,34.7,45.0,25.2,7.3,4.3,12.1,19.1,116.5,Atlanta Hawks*,26.1,43,39,45,37,1.56,-0.01,1.55,116.5,114.9,+1.6,97.7,.253,.390,.581,,,,.543,10.8,23.0,.205,,,,.543,11.5,76.9,.177,,,,State Farm Arena,"672,742","16,408",Atlanta Hawks*,82,19705,.470,14.5,,,,,,,,.610,.246,.164,.111,.089,.390,,,,,,,,.531,.669,.437,.444,.429,.374,,,,,,,,.529,.735,,,,,,,,.060,401,,,,,,,,.233,916,,,,,,,,.221,.426,,,,,,,,14,1
UTA,Utah Jazz*,82,240.6,40.6,86.2,.471,14.5,40.3,.360,26.0,45.8,.568,17.9,23.4,.767,10.8,35.6,46.3,22.4,7.2,4.9,14.0,18.9,113.6,Utah Jazz*,82,19730,3327,7067,.471,1192,3308,.360,2135,3759,.568,1470,1916,.767,884,2916,3800,1836,588,402,1149,1547,9316,Utah Jazz*,82,19730,41.7,88.5,.471,14.9,41.4,.360,26.7,47.1,.568,18.4,24.0,.767,11.1,36.5,47.6,23.0,7.4,5.0,14.4,19.4,116.7,Utah Jazz*,29.3,49,33,56,26,6.04,-0.37,5.67,116.7,110.5,+6.2,97.1,.271,.468,.589,,,,.555,12.7,25.4,.208,,,,.521,10.9,78.3,.164,,,,Vivint Smart Home Arena,"750,546","18,306",Utah Jazz*,82,19730,.471,15.1,,,,,,,,.532,.203,.235,.066,.029,.468,,,,,,,,.568,.729,.481,.458,.396,.360,,,,,,,,.454,.727,,,,,,,,.070,442,,,,,,,,.246,989,,,,,,,,.242,.383,,,,,,,,14,1
SAS,San Antonio Spurs,82,241.5,43.2,92.7,.467,11.3,32.0,.352,32.0,60.7,.527,15.4,20.4,.754,11.0,34.3,45.3,27.9,7.6,4.9,12.7,18.1,113.2,San Antonio Spurs,82,19805,3546,7601,.467,925,2626,.352,2621,4975,.527,1262,1673,.754,901,2815,3716,2289,626,403,1043,1483,9279,San Antonio Spurs,82,19805,43.0,92.1,.467,11.2,31.8,.352,31.7,60.3,.527,15.3,20.3,.754,10.9,34.1,45.0,27.7,7.6,4.9,12.6,18.0,112.4,San Antonio Spurs,24.5,34,48,41,41,0.12,-0.10,0.02,112.4,112.3,+0.1,100.0,.220,.345,.556,,,,.527,11.1,23.7,.166,,,,.532,12.1,75.1,.176,,,,AT&T Center,"615,588","15,014",San Antonio Spurs,82,19805,.467,13.4,,,,,,,,.655,.236,.226,.124,.069,.345,,,,,,,,.527,.674,.455,.441,.413,.352,,,,,,,,.551,.912,,,,,,,,.036,251,,,,,,,,.291,1254,,,,,,,,.230,.368,,,,,,,,14,1
BRK,Brooklyn Nets*,82,240.9,42.0,88.4,.475,11.5,31.7,.361,30.5,56.7,.538,17.5,21.7,.805,10.3,34.1,44.4,25.3,7.1,5.5,14.1,20.4,112.9,Brooklyn Nets*,82,19755,3442,7251,.475,940,2602,.361,2502,4649,.538,1434,1781,.805,844,2796,3640,2071,582,448,1153,1670,9258,Brooklyn Nets*,82,19755,42.2,89.0,.475,11.5,31.9,.361,30.7,57.0,.538,17.6,21.9,.805,10.4,34.3,44.7,25.4,7.1,5.5,14.1,20.5,113.6,Brooklyn Nets*,29.1,44,38,43,39,0.78,0.04,0.82,113.6,112.8,+0.8,99.0,.246,.359,.576,,,,.540,12.5,23.9,.198,,,,.521,11.7,75.1,.201,,,,Barclays Center,"711,539","17,355",Brooklyn Nets*,82,19755,.475,13.9,,,,,,,,.641,.245,.166,.136,.094,.359,,,,,,,,.538,.659,.447,.475,.478,.361,,,,,,,,.541,.764,,,,,,,,.053,338,,,,,,,,.251,982,,,,,,,,.235,.393,,,,,,,,7,0
DEN,Denver Nuggets*,82,241.5,41.7,86.3,.483,12.7,35.9,.353,29.0,50.4,.575,16.7,21.0,.795,9.2,34.9,44.1,27.8,7.2,3.7,14.5,20.0,112.7,Denver Nuggets*,82,19805,3416,7079,.483,1039,2944,.353,2377,4135,.575,1372,1725,.795,752,2865,3617,2279,592,305,1189,1639,9243,Denver Nuggets*,82,19805,42.3,87.7,.483,12.9,36.5,.353,29.4,51.2,.575,17.0,21.4,.795,9.3,35.5,44.8,28.2,7.3,3.8,14.7,20.3,114.5,Denver Nuggets*,27.7,48,34,47,35,2.30,-0.15,2.16,114.5,112.1,+2.4,97.8,.244,.416,.590,,,,.556,13.2,21.9,.194,,,,.537,11.7,78.3,.188,,,,Ball Arena,"695,262","16,958",Denver Nuggets*,82,19805,.483,14.4,,,,,,,,.584,.236,.204,.073,.071,.416,,,,,,,,.575,.744,.480,.439,.427,.353,,,,,,,,.584,.857,,,,,,,,.059,373,,,,,,,,.266,1128,,,,,,,,.265,.384,,,,,,,,24,0
